fid,org,N,mean_brier,mean_brier_ref,edge,mean_abs_dev_from_ref,N_real,mean_brier_real,edge_real,brier_rank,edge_rank,beta_ref,beta_fc,se_fc,fc_rank
Google.gemini_1p5_pro_scratchpad_with_news_with_freeze_values,ForecastBench,567,0.14492875837742503,0.06944069700619854,-0.07548806137122652,0.18445127447848325,554,0.14246318772563177,-0.07354583953729493,16,16,1.3470952567907846,-0.045894420276552474,0.20771185925460955,41.0
Google.gemini_1p5_pro_superforecaster_with_news_1,ForecastBench,567,0.19018489134038802,0.06944069700619854,-0.12074419433418948,0.25287904092222224,564,0.18986672586879433,-0.12009379841668516,63,63,1.3254185647235563,0.015365075022538567,0.13537423169581086,24.0
Google.gemini_1p5_pro_superforecaster_with_news_2,ForecastBench,567,0.20054178395061728,0.06944069700619854,-0.13110108694441874,0.2454595892957672,563,0.20019039342806394,-0.1312223437444346,76,76,1.384091324226968,-0.19047039941254276,0.12684712004150425,78.0
Google.gemini_1p5_pro_superforecaster_with_news_3,ForecastBench,567,0.17299729007830686,0.06944069700619854,-0.10355659307210836,0.2475370583902998,560,0.17203475620428574,-0.10173729144789512,48,48,1.3081016532006904,0.10221682477406645,0.20296023175589079,8.0
Google.gemini_1p5_pro_zero_shot,ForecastBench,567,0.22023174603174606,0.06944069700619854,-0.1507910490255475,0.31001968055537915,266,0.18654661654135338,-0.105672725863932,93,93,1.3276807833650226,0.01031235498925071,0.15493609946133594,26.0
Google.gemini_1p5_pro_zero_shot_with_freeze_values,ForecastBench,567,0.2117687070903124,0.06944069700619854,-0.14232801008411386,0.2657474331435626,270,0.16971428488965604,-0.0889753349630113,86,86,1.6316898003850413,-0.5896196079837493,0.20485790409287596,128.0
Meta.llama_2_70b_scratchpad,ForecastBench,567,0.24101625303534746,0.06944069700619854,-0.17157555602914892,0.34154113186719576,565,0.2409844521611363,-0.17138489572359109,105,105,1.3499643619945445,-0.31250757592728495,0.2424751398253696,98.0
Meta.llama_2_70b_scratchpad_with_freeze_values,ForecastBench,567,0.23565800486543986,0.06944069700619854,-0.16621730785924138,0.3240290989733686,565,0.2356072367410698,-0.16592203041280357,102,102,1.3546613070650542,-0.2636930477832877,0.18353705696420017,91.0
Meta.llama_2_70b_zero_shot,ForecastBench,567,0.3327331609373721,0.06944069700619854,-0.2632924639311736,0.43138618733915346,540,0.33686981898424073,-0.2655442060925985,129,129,1.3200842978303102,-0.19009248552629468,0.14396010421452496,77.0
Meta.llama_2_70b_zero_shot_with_freeze_values,ForecastBench,567,0.29314174118183645,0.06944069700619854,-0.22370104417563788,0.3327778876650794,557,0.2939162787254959,-0.2233185748862882,127,127,1.3703098569785623,-0.3040172035876006,0.09989201187606503,96.0
Meta.llama_3_70b_scratchpad,ForecastBench,567,0.19549771252204587,0.06944069700619854,-0.12605701551584733,0.2746095613557319,565,0.19530478407079646,-0.12565536969577068,72,72,1.3807671516228284,-0.26358425086728665,0.2279028279205161,90.0
Meta.llama_3_70b_scratchpad_with_freeze_values,ForecastBench,567,0.14818559920634922,0.06944069700619854,-0.07874490220015068,0.16644655998959434,567,0.14818559920634922,-0.07874490220015068,19,19,1.5849493605371807,-0.43261872425125847,0.19328667222033868,116.0
Meta.llama_3_70b_zero_shot,ForecastBench,567,0.16398593121693122,0.06944069700619854,-0.09454523421073269,0.2189587996393298,563,0.1633748188277087,-0.09344083567937021,36,36,1.3143040701608177,0.039707305546146786,0.15574947061644512,18.0
Meta.llama_3_70b_zero_shot_with_freeze_values,ForecastBench,567,0.13822237956070627,0.06944069700619854,-0.06878168255450776,0.12480739043456791,567,0.13822237956070627,-0.06878168255450776,12,12,1.529467648580778,-0.22786224056840185,0.15706986288743213,85.0
Meta.llama_3_8b_scratchpad,ForecastBench,567,0.2494114307760141,0.06944069700619854,-0.17997073376981557,0.34969968864003526,567,0.2494114307760141,-0.17997073376981557,113,113,1.3293184981505963,-0.004730240974644379,0.20221880828077612,31.0
Meta.llama_3_8b_scratchpad_with_freeze_values,ForecastBench,567,0.2159596471972796,0.06944069700619854,-0.14651895019108105,0.28695694241375663,567,0.2159596471972796,-0.14651895019108105,91,91,1.358983698697042,-0.19548785808594166,0.15492612635684855,80.0
